YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,6,1,2.51,5.13,0.91,7.04,15.28,19.86,11.38,85.12,0.88,77.86,3.24,3.39,1.39,0.52,8.48,2.17,15.52
2015,6,2,2.68,4.9,1.08,7.12,14.42,19.11,10.56,83.02,0.78,77.83,3.28,4.21,1.51,0.5,8.55,2.55,14.6
2015,6,3,2.28,4.11,1.04,6.93,14.36,19.04,10.62,83.37,0.16,77.81,3.18,4.24,1.48,0.42,8.42,2.42,14.6
2015,6,4,2.35,4.18,0.92,7.0,15.0,19.31,11.39,85.64,1.47,77.85,3.22,3.41,1.05,0.43,7.92,2.21,15.28
2015,6,5,2.45,4.16,0.98,6.99,15.13,18.98,12.43,86.26,0.64,77.9,3.2,3.78,1.34,0.43,6.55,2.35,15.22
2015,6,6,2.63,5.04,0.76,7.12,14.98,19.8,10.54,83.79,0.18,77.85,3.25,3.15,0.94,0.52,9.26,1.81,15.22
2015,6,7,2.26,4.39,0.73,6.74,14.73,19.26,10.93,84.77,0.69,77.88,3.05,2.95,0.87,0.45,8.33,1.7,14.98
2015,6,8,2.18,3.84,0.69,6.98,14.87,20.05,10.8,85.05,1.41,77.88,3.2,2.84,0.75,0.39,9.25,1.53,15.27
2015,6,9,1.98,3.62,0.49,6.83,14.89,19.47,11.67,90.04,7.12,77.79,3.13,1.52,0.8,0.37,7.8,1.1,15.19
2015,6,10,2.4,4.52,0.77,6.87,14.37,18.7,10.82,89.62,12.97,77.81,3.16,3.23,0.73,0.46,7.88,1.72,14.5
2015,6,11,2.21,4.23,0.98,6.91,14.67,20.03,9.79,84.31,0.72,77.86,3.16,3.7,1.12,0.43,10.24,2.25,15.0
2015,6,12,2.38,4.5,0.91,7.12,14.79,19.4,10.29,83.91,1.18,77.89,3.25,3.72,1.0,0.46,9.11,2.13,15.04
2015,6,13,1.87,3.41,0.78,6.9,15.08,20.02,10.75,86.93,2.0,77.83,3.18,3.26,0.71,0.35,9.27,1.86,15.39
2015,6,14,2.25,4.63,0.75,6.81,15.59,20.71,11.42,85.41,0.82,77.78,3.11,3.31,0.74,0.48,9.29,1.66,15.95
2015,6,15,2.17,4.0,1.09,6.93,15.38,20.15,11.72,84.9,1.4,77.8,3.18,3.87,1.29,0.41,8.43,2.47,15.65
2015,6,16,2.63,6.01,1.29,6.96,14.79,19.27,11.17,82.44,0.23,77.84,3.2,5.21,1.68,0.62,8.1,2.95,15.03
2015,6,17,2.19,4.56,1.04,6.96,14.71,19.28,10.68,84.23,0.14,77.8,3.18,4.16,1.34,0.47,8.6,2.45,14.92
2015,6,18,2.23,4.78,1.22,6.8,14.77,19.12,11.57,82.72,0.16,77.77,3.12,4.43,1.62,0.49,7.55,2.88,14.95
2015,6,19,2.63,5.83,1.36,7.05,14.71,19.45,10.75,81.96,0.02,77.78,3.22,5.2,1.76,0.6,8.7,3.19,14.88
