YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,3,26,2.35,5.8,1.58,6.85,21.89,27.57,15.84,77.01,0.0,91.71,3.12,3.17,1.12,0.61,11.73,2.31,22.28
2015,3,27,1.98,4.96,1.04,6.7,23.13,28.85,17.17,76.44,0.03,91.82,3.06,2.41,0.6,0.53,11.68,1.72,23.33
2015,3,28,2.22,5.58,0.91,6.57,23.8,28.24,18.91,77.33,1.45,91.92,3.04,2.16,0.31,0.59,9.33,1.33,23.92
2015,3,29,1.75,4.16,1.48,6.43,22.41,27.26,19.21,87.9,3.08,91.71,2.98,3.31,1.92,0.45,8.05,2.35,22.7
2015,3,30,2.0,4.38,1.09,6.42,23.05,27.25,19.14,84.74,5.01,91.64,2.99,2.92,0.69,0.47,8.11,1.67,23.5
2015,3,31,1.68,3.94,1.3,6.41,22.86,26.61,19.86,84.88,4.46,91.66,2.98,4.05,0.56,0.43,6.75,2.04,22.94
2015,4,1,2.07,5.15,1.26,6.52,23.21,28.69,18.97,80.03,0.13,91.66,2.97,2.69,1.13,0.56,9.72,2.04,23.78
2015,4,2,2.15,5.56,2.0,6.5,22.06,27.05,18.32,80.62,0.06,91.79,3.0,5.02,1.11,0.61,8.73,2.87,23.1
2015,4,3,2.32,6.16,2.01,6.64,21.04,26.89,16.26,78.48,0.01,91.7,2.99,4.92,1.23,0.68,10.63,2.94,22.1
2015,4,4,1.97,4.98,2.13,6.47,21.25,27.11,16.1,79.73,0.01,91.55,2.97,4.91,1.89,0.55,11.01,3.16,22.13
2015,4,5,1.24,2.8,2.54,6.19,21.2,25.09,18.67,89.89,6.01,91.46,2.86,5.62,2.47,0.31,6.42,3.75,21.49
2015,4,6,2.02,4.92,3.04,6.39,22.68,28.26,17.59,83.76,2.05,91.24,2.95,6.73,2.32,0.55,10.67,4.46,23.01
2015,4,7,1.98,5.32,2.72,6.46,19.83,26.34,14.49,77.95,0.04,91.56,2.93,5.67,2.66,0.6,11.85,3.89,20.79
2015,4,8,1.7,4.62,2.29,6.33,18.94,24.97,13.21,78.17,0.02,91.87,2.89,5.03,1.23,0.52,11.76,3.32,19.93
2015,4,9,1.67,4.8,1.65,6.01,20.42,25.8,15.17,76.52,0.01,91.95,2.69,4.46,0.43,0.55,10.63,2.38,21.36
2015,4,10,1.79,4.81,1.44,6.16,21.24,26.93,15.81,76.05,0.0,92.0,2.79,4.14,0.18,0.55,11.12,2.1,22.17
2015,4,11,1.99,5.87,1.57,6.17,21.21,26.52,16.09,74.77,0.01,91.95,2.8,4.1,0.37,0.68,10.43,2.21,21.8
2015,4,12,1.93,5.7,1.15,6.12,22.08,27.6,16.19,73.76,0.15,91.8,2.79,2.77,0.64,0.66,11.41,1.75,22.57
2015,4,13,1.87,5.57,1.55,6.09,21.59,26.89,16.31,74.35,1.57,91.92,2.77,4.05,0.69,0.65,10.58,2.25,22.05
