YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS,WSC
2015,4,1,2.13,5.58,0.68,6.53,22.09,28.29,17.58,79.16,0.14,89.48,2.95,2.84,0.43,0.61,10.71,1.44,22.07,1.07
2015,4,2,2.19,5.84,1.1,6.58,20.07,26.17,16.09,80.42,0.07,89.62,2.97,3.25,1.47,0.64,10.08,2.25,20.44,1.7
2015,4,3,2.28,6.18,0.94,6.65,19.68,26.83,14.08,76.79,0.02,89.51,2.96,2.93,0.87,0.69,12.75,1.91,20.16,1.54
2015,4,4,1.96,5.1,0.89,6.48,19.85,26.7,13.77,78.53,0.01,89.36,2.94,2.7,1.3,0.57,12.93,1.96,20.28,1.55
2015,4,5,1.35,3.01,1.17,6.16,19.53,23.25,16.14,88.65,6.41,89.26,2.83,4.05,1.68,0.34,7.11,2.64,19.65,2.16
2015,4,6,2.06,4.95,1.6,6.4,21.03,27.18,15.63,84.47,2.47,89.04,2.91,5.41,1.79,0.56,11.55,3.45,21.15,2.71
2015,4,7,1.81,4.57,1.52,6.41,17.81,24.56,13.71,80.93,0.75,89.38,2.91,4.43,2.39,0.52,10.85,3.32,18.19,2.43
2015,4,8,1.87,5.29,1.27,6.3,17.32,23.73,12.12,79.35,0.04,89.66,2.85,3.72,1.2,0.61,11.61,2.55,17.78,1.92
2015,4,9,1.74,5.28,0.8,5.98,18.83,25.76,13.07,78.49,0.01,89.74,2.65,2.68,0.25,0.61,12.69,1.67,19.41,1.4
2015,4,10,1.79,4.84,0.74,6.14,19.46,26.54,14.01,77.8,0.0,89.8,2.76,3.06,0.12,0.56,12.53,1.56,20.01,1.35
2015,4,11,1.88,5.54,0.76,6.14,19.58,25.97,14.28,76.86,0.01,89.73,2.75,2.3,0.53,0.65,11.69,1.62,19.84,1.27
2015,4,12,1.86,5.51,0.63,6.11,20.57,27.29,14.82,74.95,0.16,89.6,2.75,2.22,0.62,0.65,12.47,1.47,20.95,1.25
2015,4,13,1.71,4.99,0.81,6.06,19.95,26.11,14.89,76.95,1.68,89.72,2.73,2.34,0.18,0.59,11.22,1.68,20.16,1.34
2015,4,14,1.69,4.89,0.84,5.94,19.81,26.17,14.91,77.22,1.34,89.69,2.68,2.35,0.23,0.58,11.26,1.77,20.01,1.41
2015,4,15,1.68,4.63,0.89,5.91,19.89,26.32,13.63,77.3,0.95,89.57,2.71,3.06,1.26,0.55,12.69,1.94,20.01,1.51
2015,4,16,1.75,4.74,0.84,5.88,19.72,23.84,16.47,88.26,2.69,89.43,2.7,3.56,0.18,0.57,7.37,1.81,19.79,1.35
2015,4,17,1.88,5.25,1.11,5.93,20.27,27.51,15.54,81.8,1.25,89.59,2.67,3.25,1.37,0.63,11.97,2.25,20.64,1.86
2015,4,18,1.65,4.33,1.12,5.81,21.45,27.65,16.35,78.49,0.03,89.56,2.65,3.57,0.68,0.53,11.3,2.34,21.55,1.76
2015,4,19,1.54,3.8,0.42,5.6,22.44,28.46,17.97,78.21,0.85,89.46,2.58,1.12,0.33,0.47,10.49,0.8,22.37,0.58
2015,4,20,1.71,4.39,0.64,5.62,21.6,26.18,18.79,86.21,2.85,89.41,2.59,2.31,0.04,0.54,7.39,1.37,21.74,1.06
2015,4,21,1.71,4.09,0.8,5.61,22.14,27.98,18.65,82.74,3.42,89.36,2.59,3.33,0.2,0.51,9.33,1.75,21.92,1.39
2015,4,22,1.16,2.53,0.71,5.48,20.14,25.53,16.86,85.76,8.4,89.5,2.54,2.98,0.13,0.32,8.67,1.6,20.25,1.37
2015,4,23,1.4,3.73,0.93,5.48,19.82,25.12,16.48,88.04,5.09,89.61,2.51,2.81,0.56,0.47,8.64,1.93,20.06,1.53
2015,4,24,1.55,4.03,0.83,5.6,20.85,27.55,15.65,82.74,1.17,89.64,2.55,3.23,1.27,0.51,11.9,1.98,21.12,1.75
2015,4,25,1.72,5.02,1.17,5.76,18.82,25.51,12.78,79.25,0.16,89.68,2.57,3.8,1.57,0.64,12.73,2.66,19.12,2.14
2015,4,26,1.72,5.49,1.18,5.82,17.22,25.11,11.48,77.98,0.05,89.76,2.6,3.34,1.98,0.7,13.63,2.49,17.68,1.97
2015,4,27,1.74,5.57,1.02,5.69,18.33,25.43,13.14,77.05,0.03,89.68,2.53,2.88,1.49,0.72,12.29,2.18,18.66,1.79
2015,4,28,1.47,4.42,0.91,5.62,18.33,24.51,13.16,77.5,0.46,89.55,2.51,2.74,0.86,0.57,11.35,1.98,18.54,1.6
2015,4,29,1.43,4.16,0.62,5.34,18.03,24.16,13.88,79.31,0.45,89.56,2.36,2.41,0.46,0.54,10.28,1.54,18.45,1.43
2015,4,30,1.37,4.07,0.87,5.41,17.19,23.44,13.37,81.91,1.84,89.61,2.41,3.15,0.23,0.53,10.07,1.92,17.61,1.62
2015,5,1,1.34,3.92,0.89,5.43,17.1,23.71,12.41,78.84,0.34,89.59,2.44,2.54,0.85,0.52,11.3,1.94,17.54,1.52
2015,5,2,1.17,3.52,0.84,5.39,17.83,24.68,12.15,79.85,0.06,89.55,2.42,2.35,1.1,0.47,12.53,1.86,18.32,1.49
2015,5,3,1.36,3.94,1.04,5.4,19.16,26.01,14.59,76.17,0.03,89.58,2.44,3.63,1.37,0.52,11.42,2.35,19.23,1.84
2015,5,4,0.81,1.88,1.52,5.19,18.24,24.47,13.19,83.78,1.36,89.52,2.38,6.43,1.39,0.25,11.28,3.49,18.42,2.73
2015,5,5,1.22,3.52,0.74,5.05,19.28,26.04,15.27,84.29,3.85,89.6,2.27,2.96,0.3,0.48,10.77,1.61,19.52,1.22
2015,5,6,0.84,2.17,0.9,4.99,18.47,25.3,13.85,82.36,0.52,89.6,2.2,2.68,0.85,0.29,11.45,1.81,18.92,1.4
2015,5,7,1.37,4.28,1.06,5.17,18.23,25.74,12.91,75.82,0.1,89.56,2.29,3.79,1.05,0.58,12.83,2.37,18.63,1.79
2015,5,8,1.3,3.71,1.41,5.23,15.71,22.37,11.9,79.6,0.33,89.92,2.33,4.68,2.1,0.51,10.47,3.01,16.02,2.36
2015,5,9,1.38,4.66,0.96,5.2,16.98,24.86,11.12,73.53,0.03,89.85,2.31,2.81,0.49,0.64,13.74,1.96,16.76,1.41
2015,5,10,1.25,3.55,0.79,4.99,17.27,24.31,10.45,81.82,13.61,89.62,2.27,2.5,1.36,0.49,13.86,1.88,17.26,1.41
2015,5,11,0.78,2.01,1.41,4.76,17.42,20.97,15.35,92.75,9.49,89.3,2.15,5.85,1.42,0.28,5.62,3.14,17.38,2.56
2015,5,12,1.26,4.24,0.89,5.19,16.16,22.44,10.93,75.38,0.29,89.55,2.28,3.18,1.17,0.6,11.51,1.99,16.08,1.6
2015,5,13,1.22,3.65,1.01,5.14,16.14,23.39,10.67,81.73,0.1,89.87,2.3,3.11,1.81,0.52,12.72,2.25,16.46,1.87
2015,5,14,1.01,3.08,1.11,4.89,15.75,22.36,12.07,81.22,0.01,89.94,2.14,3.54,1.66,0.44,10.29,2.36,16.0,1.95
2015,5,15,1.22,3.63,1.09,5.01,15.24,21.69,11.34,77.7,0.0,90.03,2.21,3.46,1.67,0.52,10.35,2.33,15.55,1.97
2015,5,16,1.35,4.81,1.22,5.02,15.65,22.81,9.87,78.85,0.06,90.12,2.22,3.35,1.91,0.69,12.94,2.6,15.98,2.23
2015,5,17,1.04,2.97,1.13,4.89,16.48,23.1,11.62,81.45,0.01,90.18,2.19,3.39,1.73,0.43,11.48,2.31,16.76,1.98
2015,5,18,0.96,2.61,0.86,4.72,16.57,21.71,12.92,86.16,1.68,90.07,2.14,3.04,1.21,0.38,8.79,1.77,16.84,1.57
2015,5,19,0.83,2.39,0.87,4.56,16.53,21.88,13.61,85.8,1.38,89.96,2.06,2.44,1.42,0.35,8.27,1.83,16.7,1.56
2015,5,20,1.11,3.51,1.05,4.73,16.52,22.77,12.71,82.23,0.09,89.99,2.15,3.24,1.58,0.51,10.06,2.21,16.82,1.89
2015,5,21,1.09,3.66,1.16,4.66,17.16,23.93,12.43,80.06,0.01,90.14,2.12,3.63,1.77,0.54,11.5,2.49,17.5,2.14
2015,5,22,1.17,4.15,1.03,4.79,17.03,24.72,11.98,78.56,0.0,90.13,2.17,2.94,1.71,0.61,12.74,2.21,17.41,1.88
2015,5,23,0.94,2.8,0.74,4.69,16.83,23.18,12.16,80.23,0.0,89.95,2.11,2.13,1.04,0.42,11.02,1.64,16.93,1.3
2015,5,24,1.35,4.68,0.98,4.85,18.68,26.32,11.8,72.78,0.0,89.71,2.19,3.31,0.81,0.7,14.52,1.99,17.89,1.36
2015,5,25,1.34,4.63,0.57,4.76,20.75,28.23,15.3,64.07,0.03,89.71,2.17,2.01,0.08,0.69,12.93,1.07,19.3,0.72
2015,5,26,1.33,4.22,0.78,4.64,19.41,26.94,13.87,72.45,0.63,89.74,2.13,2.22,0.71,0.63,13.07,1.69,19.17,1.4
2015,5,27,1.28,4.18,1.02,4.63,17.92,26.06,12.18,74.71,0.26,89.64,2.1,3.16,1.69,0.63,13.88,2.2,17.79,1.65
2015,5,28,0.94,2.74,1.21,4.62,17.84,25.31,12.22,76.73,0.51,89.48,2.12,4.47,1.65,0.42,13.09,2.55,17.55,1.95
2015,5,29,1.02,3.25,1.03,4.69,15.4,22.18,10.98,78.4,1.55,89.4,2.1,4.31,0.1,0.49,11.2,2.32,15.56,1.97
2015,5,30,1.12,3.74,0.95,4.69,15.65,23.43,9.42,68.34,0.4,89.58,2.05,3.55,0.03,0.57,14.01,1.97,14.75,1.42
2015,5,31,0.3,0.71,1.06,4.39,17.63,24.83,12.12,71.53,4.82,89.73,2.0,4.45,0.79,0.11,12.71,2.24,16.65,1.68
2015,6,1,0.83,2.39,0.7,4.23,18.76,24.87,15.2,77.08,0.94,89.83,1.89,2.76,0.32,0.37,9.67,1.45,18.29,1.08
2015,6,2,0.7,1.82,1.07,4.13,16.45,21.02,13.59,85.89,1.96,89.89,1.82,3.12,0.97,0.28,7.43,2.15,16.66,1.64
2015,6,3,0.8,2.75,0.93,4.16,16.6,23.35,12.07,83.25,0.2,89.93,1.82,2.8,1.47,0.43,11.28,1.98,16.95,1.66
2015,6,4,1.11,3.97,0.75,4.64,17.26,25.7,11.33,71.32,0.01,90.08,2.07,2.35,1.08,0.62,14.37,1.54,16.95,1.19
2015,6,5,1.25,4.53,0.99,4.68,16.32,24.86,9.74,75.29,0.04,90.06,2.06,2.74,1.74,0.7,15.12,2.23,16.24,1.83
